rs_school_emis_code,sc_total_exp_current_year,sc_balance,total_funds_available
35210553,15075,368,15443
35210556,22025,21892,43917
35210558,57800,4290,62090
35210571,0,725,725
35210572,0,48187,48187
35210573,7098,155,7253
35210574,17000,1210,18210
35210576,0,481,481
35210579,44000,5132,49132
35210588,83317,236,83553
35210591,5682,0,5682
35210594,57235,6006,63241
35210595,32187,53048,85235
35210597,28785,1232,30017
35210598,102500,26833,129333
35210600,19465,1789,21254
35210605,0,614,614
35210606,60000,22698,82698
35210607,64000,17112,81112
35210610,0,449,449
35210612,90027,436,90463
35210614,0,50,50
35210615,0,0,0
35210617,65906,73336,139242
35210618,0,1361,1361
35210619,76886,12136,89022
35210620,27116,0,27116
35210622,44149,0,44149
35210624,7462,0,7462
35210626,0,756,756
35210628,79443,43562,123005
35210630,70222,11747,81969
35210631,19532,67253,86785
35210632,0,656,656
35210634,155000,922,155922
35210635,20000,8223,28223
35210636,0,32,32
35210637,15500,29569,45069
35210638,20316,248023,268339
35210639,19274,0,19274
35210642,16075,13486,29561
35210644,0,5670,5670
35210645,37000,28619,65619
35210646,17421,0,17421
35210647,23039,67355,90394
35210648,4500,597,5097
35210649,11700,4586,16286
35210650,986,0,986
35210651,0,13,13
35210652,0,0,0
35210653,0,515,515
35210654,0,24,24
35210655,19500,34635,54135
35210658,0,43,43
35210659,66003,986,66989
35210660,45924,35768,81692
35210661,19226,0,19226
35210662,0,1972,1972
35210663,5700,36,5736
35210664,10000,974,10974
35210665,0,0,0
35210666,66084,267,66351
35210667,0,398,398
35210668,45000,11436,56436
35210669,0,513,513
35210671,0,826,826
35210672,0,446,446
35210673,8397,1107,9504
35210674,51200,26984,78184
35210675,11000,22588,33588
35210677,15000,20289,35289
35210681,9000,1046,10046
35210683,23906,38799,62705
35210685,0,162,162
35210687,5918,0,5918
35210688,0,12057,12057
35210689,24557,27905,52462
35210690,0,945,945
35210691,23160,155,23315
35210692,70000,115874,185874
35210693,22000,975,22975
35210694,24043,48986,73029
35210695,29464,30724,60188
35210696,12000,26,12026
35210698,75380,5294,80674
35210699,15000,26717,41717
35210701,0,473,473
35210702,0,500,500
35210703,0,137,137
35210704,0,348,348
35210705,20000,33110,53110
35210707,59326,972,60298
35210708,0,471,471
35210709,53000,85,53085
35210710,0,944,944
35210711,10230,44483,54713
35210712,0,1356,1356
35210713,22950,1700,24650
35210714,95530,1105,96635
35210715,74736,12217,86953
35210717,5000,1329,6329
35210719,0,224,224
35210721,0,144,144
35210722,0,69349,69349
35210723,4517,0,4517
35210724,800,218,1018
35210725,12462,16846,29308
35210726,0,629,629
35210727,60619,0,60619
35210729,3000,44,3044
35210730,18489,56699,75188
35210733,22020,700,22720
35210734,0,2922,2922
35210735,0,983,983
35210736,0,29835,29835
35210738,8950,21371,30321
35210739,154000,866,154866
35210743,0,285,285
35210746,0,0,0
35210748,0,533,533
35210752,0,0,0
35210754,97600,52516,150116
35210756,0,314,314
35210759,3005,792,3797
35210769,0,300,300
35210772,94426,68651,163077
35210773,284450,37,284487
35210774,191000,733,191733
35210777,66597,27545,94142
35210778,0,2812,2812
35210780,27178,6926,34104
35210782,0,212,212
35210785,68965,70605,139570
35210786,24800,24689,49489
35210787,0,0,101683
35210789,290,29763,30053
35210792,0,1323,1323
35210795,18000,63134,81134
35210796,0,0,0
35210797,52820,95845,148665
35210798,8500,130306,138806
35210799,0,2604,2604
35210801,6800,2621,9421
35210803,63901,156940,220841
35210805,29475,993,30468
35210806,175375,126829,302204
35210807,0,571,571
35210808,26919,1750,28669
35210809,1000,0,1000
35210810,0,1775,1775
35210811,0,799,799
35210812,678202,184932,863134
35210814,45630,8315,53945
35210815,0,1213,1213
35210817,10137,582,10719
35210818,148256,2571,150827
35210819,94714,227194,321908
35210820,0,18252,18252
35210821,94328,94766,189094
35210822,0,176591,176591
35210823,126476,63388,189864
35210824,65473,21778,87251
35210825,0,18667,18667
35210826,0,927,927
35210827,0,1735,1735
35210828,250,65,315
35210829,0,375,375
35210830,323153,346781,669934
35210831,162753,15775,178528
35210832,52720,105816,158536
35210833,12497,13142,25639
35210836,15000,11634,26634
35210837,31893,519,32412
35210839,7615,4062,11677
35210841,34671,14167,48838
35210842,57949,34137,92086
35210844,39782,30382,70164
35210845,1800,17,1817
35210847,23863,69931,93794
35210850,35539,3951,39490
35210851,0,0,0
35210852,18642,40173,58815
35210853,0,30122,30122
35210854,102970,19405,122375
35210856,3778,13329,17107
35210857,20692,1010,21702
35210861,22147,182460,204607
35210863,37035,541,37576
35210864,1032,0,1032
35210865,111601,2199,113800
35210866,38994,0,38994
35210867,104777,142448,247225
35210868,0,819,819
35210869,93077,5741,98818
35210870,21413,864,22277
35210871,25613,114779,140392
35210872,102530,6480,109010
35210873,3681,2089,5770
35210874,158331,424,158755
35210875,0,735,735
35210876,11500,1640,13140
35210877,55545,151,55696
35210878,0,0,0
35210879,0,1342,1342
35210880,0,602,602
35210881,9310,372,9682
35210882,175000,3917,178917
35210883,99099,738,99837
35210884,0,1212,1212
35210885,0,2116,2116
35210886,88853,2999,91852
35210887,172828,355260,528088
35210888,78548,41013,119561
35210889,79460,74860,154320
35210890,0,2330,2330
35210891,30000,535,30535
35210892,0,1328,1328
35210893,0,0,0
35210894,15179,2579,17758
35210895,0,544,544
35210896,0,0,11333
35210897,0,239502,239502
35210898,0,611,611
35210901,65545,161,65706
35210902,63000,1491,64491
35210903,58990,16732,75722
35210904,16000,624,16624
35210905,9162,25,9187
35210906,0,1067,1067
35210907,0,521,521
35210909,41581,7723,49304
35210910,0,4062,4062
35210911,50000,3004,53004
35210912,5527,18186,23713
35210913,0,81514,81514
35210915,15857,15020,30877
35210917,38816,62753,101569
35210949,0,0,0
35210950,0,139,139
35210951,0,0,0
35210952,0,40570,40570
35210953,19455,2866,22321
35210954,0,1538,1538
35210955,2000,55,2055
35210956,0,218,218
35210957,22369,72784,95153
35210980,0,0,0
35210982,4664,2129,6793
35210983,6240,83637,89877
35210984,164,0,164
35210986,0,254,254
35210987,0,32312,32312
35210989,0,3221,3221
35210990,0,3383,3383
35210991,6500,222,6722
35210992,10000,38415,48415
35210994,0,2805,2805
35210995,24086,0,24086
35210997,121794,761401,883195
35210998,9946,558,10504
35210999,67577,377353,444930
35211000,0,616,616
35211001,0,586,586
35211004,0,586,586
35211008,14850,20146,34996
35211009,0,517,517
35220001,336115,330,336445
35220002,194476,687,195163
35220003,437440,591503,1028943
35220004,0,1387,1387
35220005,483202,267630,750832
35220006,0,0,0
35220007,0,1491,1491
35220008,170283,301858,472141
35220009,319702,56893,376595
35220010,6048,1512,7560
35220011,0,472,472
35220012,104567,514,105081
35220013,65616,2688,68304
35220014,5000,1944,6944
35220015,0,788,788
35220016,147237,68536,215773
35220017,0,0,0
35220018,93282,648,93930
35220019,0,353,353
35220020,3000,4606,7606
35220021,43318,874,44192
35220022,104894,1536,106430
35220023,0,3881,3881
35220024,0,183,183
35220025,3000,809,3809
35220026,0,4513,4513
35220027,0,8,8
35220028,175223,7170,182393
35220029,0,668,668
35220030,75672,34990,110662
35220031,46000,592,46592
35220032,51216,568,51784
35220033,0,18809,18809
35220034,4825,323,5148
35220035,35331,1695,37026
35220036,118134,68752,186886
35220037,96295,498397,594692
35220038,0,2093,2093
35220039,44816,4992,49808
35220041,0,1310,1310
35220043,91029,50811,141840
35220044,158429,61842,220271
35220045,21762,1829,23591
35220046,300290,53580,353870
35220047,131466,151993,283459
35220048,87111,14311,101422
35220049,0,2298,2298
35220050,0,3764,3764
35220052,0,103,103
35220053,0,877,877
35220054,0,0,0
35220055,77881,48399,126280
35220056,98600,175220,273820
35220057,22344,17415,39759
35220058,0,184233,184233
35220060,3815,838,4653
35220061,40000,3479,43479
35220062,0,2444,2444
35220063,0,652,652
35220064,444649,1945,446594
35220065,99278,81258,180536
35220066,5000,135,5135
35220067,0,500,500
35220068,8583,30300,38883
35220070,0,0,0
35220071,0,3269,3269
35220073,117200,942,118142
35220075,135000,7459,142459
35220076,0,680,680
35220077,0,390,390
35220079,290,2500,2790
35220080,7996,1761,9757
35220081,59477,28754,88231
35220082,251235,816617,1067852
35220083,40291,11986,52277
35220084,0,10297,10297
35220085,35000,6965,41965
35220086,80000,1029,81029
35220087,40221,133504,173725
35220088,200752,4246,204998
35220089,55849,7196,63045
35220090,0,326,326
35220091,0,1274103,1274103
35220092,0,4699,4699
35220093,44400,9800,54200
35220094,38000,12444,50444
35220095,56673,13502,70175
35220096,15000,825,15825
35220097,36640,660,37300
35220098,39843,1406,41249
35220099,368576,328448,697024
35220100,58771,0,58771
35220101,83312,781,84093
35220102,62715,48439,111154
35220103,4666,478,5144
35220104,0,0,0
35220105,83000,567,83567
35220106,0,1143,1143
35220107,15917,206733,222650
35220108,0,219786,219786
35220109,0,3177,3177
35220111,277962,213675,491637
35220112,2343,2712,5055
35220113,96549,14056,110605
35220114,53990,120,54110
35220115,0,2463,2463
35220116,27602,235,27837
35220117,0,1638,1638
35220118,63116,9605,72721
35220121,165300,8415,173715
35220122,44406,239608,284014
35220123,0,448580,448580
35220124,24415,262494,286909
35220125,0,2,2
35220126,57500,95266,152766
35220127,57324,9488,66812
35220128,181500,122807,304307
35220129,231091,26263,257354
35220130,0,139,139
35220131,62152,51471,113623
35220133,14000,341,14341
35220134,108466,63479,171945
35220137,31500,94819,126319
35220139,0,374,374
35220140,19200,168194,187394
35220141,0,1112,1112
35220142,25500,731,26231
35220143,0,743,743
35220146,231499,1217,232716
35220148,215449,0,215449
35220149,58623,2010,60633
35220150,31300,376,31676
35220151,25000,6237,31237
35220152,0,673413,673413
35220153,10056,104774,114830
35220154,0,5578,5578
35220155,125676,2095,127771
35220156,0,25987,25987
35220157,72000,80619,152619
35220158,48640,64084,112724
35220159,0,1477,1477
35220161,32928,147191,180119
35220162,2685,0,2685
35220164,12000,706,12706
35220165,50000,269207,319207
35220166,38000,23716,61716
35220167,0,276853,276853
35220169,0,544,544
35220171,0,55646,55646
35220172,0,300,300
35220173,0,0,0
35220175,40000,37754,77754
35220177,30000,167196,197196
35220178,0,1547,1547
35220179,11000,49105,60105
35220180,0,515,515
35220181,51525,10806,62331
35220183,2958,0,2958
35220184,0,3663,3663
35220185,45000,1506,46506
35220186,60533,53205,113738
35220187,20000,542,20542
35220188,0,1600,1600
35220189,84000,15954,99954
35220190,10000,10540,20540
35220191,30000,24887,54887
35220192,27870,29038,56908
35220194,50000,42758,92758
35220196,26921,18959,45880
35220197,2000,184,2184
35220198,11455,3591,15046
35220199,25035,26419,51454
35220200,38771,503,39274
35220201,63470,46642,110112
35220202,30000,2805,32805
35220204,51286,41953,93239
35220205,0,50237,50237
35220206,39990,3593,43583
35220207,69439,43601,113040
35220208,14042,1365,15407
35220209,5814,0,5814
35220210,0,377778,377778
35220212,30808,33149,63957
35220213,76770,6866,83636
35220214,0,0,0
35220215,27678,796,28474
35220216,0,23051,23051
35220217,55000,16635,71635
35220220,3708,0,3708
35220221,20000,25275,45275
35220222,0,1095,1095
35220223,30580,8701,39281
35220225,32731,11575,44306
35220227,15000,10802,25802
35220229,36000,191905,227905
35220230,17587,66189,83776
35220231,1566,62964,64530
35220235,0,376,376
35220236,0,1086,1086
35220238,16494,15600,32094
35220239,0,420,420
35220240,25851,66207,92058
35220241,141222,39062,180284
35220242,12207,34,12241
35220243,35000,165413,200413
35220244,43310,39670,82980
35220247,0,30387,30387
35220248,4800,582,5382
35220249,0,283,283
35220251,82237,15932,98169
35220252,0,999,999
35220253,12880,1005,13885
35220255,161832,154471,316303
35220256,0,2012,2012
35220257,60500,942,61442
35220259,39000,9595,48595
35220261,25350,13001,38351
35220265,176365,302946,479311
35220266,0,1182,1182
35220267,85700,1674,87374
35220268,69662,0,69662
35220269,50000,3242,53242
35220271,50000,7945,57945
35220272,48283,55242,103525
35220275,2980,613,3593
35220276,190000,104357,294357
35220280,0,1280,1280
35220282,264000,181871,445871
35220283,6000,1038,7038
35220285,54892,10169,65061
35220287,0,2992,2992
35220289,0,0,0
35220290,15348,23623,38971
35220291,0,223,223
35220293,0,134227,134227
35220295,61148,39828,100976
35220297,0,91,91
35220298,70800,138352,209152
35220299,0,0,0
35220300,56639,24000,80639
35220302,58000,39824,97824
35220303,13628,44141,57769
35220304,0,718,718
35220306,0,61,61
35220307,125485,14543,140028
35220308,40000,93759,133759
35220309,59160,54351,113511
35220312,47500,8665,56165
35220314,29250,35,29285
35220315,31402,15271,46673
35220316,1200,205,1405
35220318,5000,547128,552128
35220320,22617,35990,58607
35220321,78000,737,78737
35220322,8000,1449,9449
35220325,10699,46356,57055
35220327,22000,216678,238678
35220333,13600,71,13671
35220334,88578,20400,108978
35220336,108275,101992,210267
35220339,8700,91,8791
35220346,3526,985,4511
35220347,0,1264,1264
35220348,16888,3014,19902
35220349,2486,19690,22176
35220350,0,0,556
35220351,22335,1499,23834
35220352,44300,74,44374
35220353,16935,0,16935
35220354,4232,738,4970
35220355,45000,1239,46239
35220356,5095,0,5095
35220357,55000,490,55490
35220358,40000,40682,80682
35220359,27243,4410,31653
35220360,5430,88392,93822
35220362,190000,574,190574
35220363,49644,38764,88408
35220364,5608,1601,7209
35220365,27000,23930,50930
35220366,25318,0,25318
35220367,34064,16698,50762
35220368,57108,4664,61772
35220369,43421,83014,126435
35220370,0,63999,63999
35220372,38088,0,38088
35220374,0,0,0
35220379,107818,70318,178136
35220380,29504,115234,144738
35220384,3100,42167,45267
35220386,503834,148171,652005
35220387,0,6159,6159
35220388,131016,22277,153293
35220396,62861,213886,276747
35220403,2000,12549,14549
35220404,338000,781,338781
35220406,58991,223631,282622
35220409,217150,210091,427241
35220410,50000,97364,147364
35220412,45000,12683,57683
35220413,55000,108870,163870
35220414,100000,208788,308788
35220415,15000,6135,21135
35220416,33000,2524,35524
35220419,41529,24140,65669
35220422,37044,52274,89318
35220424,38715,34992,73707
35220425,0,9971,9971
35220426,8800,58112,66912
35220427,11000,26208,37208
35220428,25000,18920,43920
35220429,13500,40054,53554
35220430,27000,84144,111144
35220431,38500,25088,63588
35220432,50000,58244,108244
35220433,47000,53952,100952
35220434,28068,11476,39544
35220436,26758,24672,51430
35220437,0,84615,84615
35220438,10000,105096,115096
35220439,51000,8776,59776
35220440,14000,257962,271962
35220441,26500,38383,64883
35220442,15303,23930,39233
35220443,0,23122,23122
35220444,25085,0,25085
35220445,11035,53467,64502
35220446,155000,515,155515
35220447,0,245,245
35220449,13352,91081,104433
35220457,0,0,0
35220462,0,0,0
35220476,0,0,0
35220482,0,0,0
35220493,0,0,0
35220497,0,0,0
35220500,0,0,0
35220501,0,0,0
35220505,0,0,0
35220509,0,0,0
35220513,0,0,0
35220514,0,0,0
35220523,0,0,0
35220524,0,0,0
35220532,0,311,311
35220533,48306,90121,138427
35220534,0,1586,1586
35220537,0,339,339
35220539,0,1452,1452
35220540,19913,236920,256833
35220542,77306,130005,207311
35220543,0,306,306
35220544,0,294,294
35220545,4000,660,4660
35220546,199557,64446,264003
35220547,87370,61489,148859
35220548,14335,18009,32344
35220550,0,1031,1031
35220551,49310,76981,126291
35220552,6000,84647,90647
35220553,50000,201213,251213
35220554,44158,152759,196917
35220555,20000,37253,57253
35220556,0,464,464
35220557,54995,512,55507
35220558,11808,16800,28608
35220559,0,154,154
35220560,0,0,0
35220561,1500,7,1507
35220562,21041,1945,22986
35220563,55000,12881,67881
35220564,2035,837,2872
35220565,135602,96140,231742
35220566,65452,11521,76973
35220567,41800,2008917,2050717
35220569,118251,79652,197903
35220571,10700,9,10709
35220572,109748,0,109748
35220574,6511,8479,14990
35220578,2223,977,3200
35220579,20293,3330,23623
35220580,0,2343,2343
35220581,300000,314585,614585
35220583,149034,37,149071
35220584,5240,0,5240
35220585,200900,326,201226
35220586,15211,0,15211
35220587,7000,614,7614
35220588,0,754,754
35220589,28000,103107,131107
35220591,182565,99991,282556
35220592,39301,28786,68087
35220593,23779,373,24152
35220594,15500,61964,77464
35220597,134414,587,135001
35220599,290,2961,3251
35220600,19818,115,19933
35220601,0,100,100
35220602,0,3777,3777
35220603,110710,32345,143055
35220606,37699,151273,188972
35220607,4800,1179,5979
35220608,0,594,594
35220609,121586,94294,215880
35220610,321868,55246,377114
35220611,0,10610,10610
35220612,71347,110013,181360
35220613,216093,32687,248780
35220614,57588,56678,114266
35220615,0,490,490
35220616,36892,23964,60856
35220617,2000,885,2885
35220619,3200,382,3582
35220620,0,81,81
35220621,60015,236164,296179
35220622,52686,1464,54150
35220623,0,250,250
35220625,21568,798,22366
35220626,0,3639,3639
35220627,154006,59062,213068
35220628,11712,12248,23960
35220630,42280,596,42876
35220631,0,230208,230208
35220632,437,244511,244948
35220633,0,0,0
35220634,53180,561785,614965
35220635,288000,520,288520
35220636,127006,731,127737
35220637,72861,85268,158129
35220638,11336,0,11336
35220639,55066,316997,372063
35220640,0,743,743
35220641,26823,46144,72967
35220642,16000,301,16301
35220644,85990,4499,90489
35220645,13613,3113,16726
35220648,25344,16707,42051
35220649,32354,22929,55283
35220650,110140,54910,165050
35220651,56394,149639,206033
35220652,25577,4949,30526
35220653,76057,16782,92839
35220654,36529,20215,56744
35220655,61039,1781,62820
35220656,0,108,108
35220657,0,896,896
35220660,87139,6304,93443
35220666,0,754,754
35220667,44560,23850,68410
35220668,7212,39995,47207
35220669,71400,143268,214668
35220671,0,473,473
35220672,0,0,0
35220674,0,1136,1136
35220676,104484,185455,289939
35220677,200000,48990,248990
35220679,57294,13854,71148
35220681,28000,1591,29591
35220682,7890,74259,82149
35220684,0,0,0
35220687,13655,23452,37107
35220688,22000,4527,26527
35220689,0,195,195
35410008,155776,5424,161200
35410009,171000,0,171000
35410010,300000,9000,309000
35410013,309000,16,309016
35410029,124077,583045,707122
35410030,618107,235828,853935
35410031,230000,19613,249613
35410032,1125781,1457,1127238
35410038,0,935,935
35410040,418171,33724,451895
35410041,407957,0,407957
35410042,250289,36699,286988
35410044,0,0,0
35410048,110766,645,111411
35410049,145780,35211,180991
35410050,90000,10205,100205
35410076,100000,58453,158453
35410077,125000,258995,383995
35410078,89500,46243,135743
35410080,379194,10971,390165
35410081,156553,144101,300654
35410082,420000,67070,487070
35410083,120000,163980,283980
35410084,194000,991,194991
35410085,161457,1000,162457
35410087,480000,253000,733000
35410123,17295,32705,50000
35410124,50521,99291,149812
35410125,120000,6017,126017
35410127,337000,561,337561
35410128,110000,972,110972
35410130,57000,528,57528
35410133,60600,2000,62600
35410135,38505,51037,89542
35410151,70000,2440,72440
35410152,45000,15944,60944
35410156,35000,20457,55457
35410158,71000,478,71478
35410160,180780,3106,183886
35410161,55000,13517,68517
35410163,44000,624,44624
35410164,20000,201749,221749
35410165,48000,987,48987
35410166,122500,353108,475608
35410167,55330,74853,130183
35410168,0,105379,105379
35410169,0,0,0
35410173,30000,629,30629
35410176,6000,30610,36610
35410177,30000,12840,42840
35410180,28900,100,29000
35410181,45000,3633,48633
35410182,33000,596,33596
35410184,42000,6832,48832
35410186,35000,58270,93270
35410187,50000,21570,71570
35410188,50290,224638,274928
35410189,18000,5142,23142
35410190,30000,171425,201425
35410191,150280,38989,189269
35410193,80000,8512,88512
35410194,45000,38112,83112
35410196,60000,16033,76033
35410197,90000,22334,112334
35410198,0,0,0
35410200,35000,736,35736
35410202,32500,1610,34110
35410204,35000,48743,83743
35410205,26000,45730,71730
35410367,52000,5527,57527
35410370,72476,144598,217074
35410371,0,111286,111286
35410372,113000,2000,115000
35410374,103800,4300,108100
35410437,35000,828,35828
35410456,45309,17600,62909
35410458,175000,29499,204499
35410459,68012,3863,71875
35410460,141700,300,142000
35410461,141600,91914,233514
35410464,131000,1357,132357
35410465,40000,988,40988
35410467,79015,12813,91828
35410468,20000,70892,90892
35410471,205200,19886,225086
35410474,168195,42164,210359
35410475,0,46046,46046
35410476,70000,6123,76123
35410481,0,0,0
35410482,64000,1288,65288
35410483,21000,12034,33034
35410484,41000,738,41738
35410486,74430,37707,112137
35410487,5750,98048,103798
35410488,35212,1447,36659
35410489,250000,1643,251643
35410490,110000,11228,121228
35410493,135360,5907,141267
35410494,127000,51016,178016
35410501,40000,14,40014
35410503,141500,500,142000
35410559,86000,236,86236
35410560,55200,1906,57106
35410573,58032,11917,69949
35410575,63580,636,64216
35410577,72008,22996,95004
35410578,85000,3230,88230
35410595,32000,110,32110
35410693,10000,149000,159000
35410694,245843,2860,248703
35410695,36592,80000,116592
35410700,0,0,0
35410702,0,0,0
35410705,30000,18782,48782
35410706,35000,1357,36357
35410707,0,0,0
35410708,0,0,0
35410772,60000,39075,99075
35410773,40000,10225,50225
35410807,0,0,0
35410809,0,0,0
35410819,107400,677300,784700
35410822,38000,1991,39991
35410823,30000,1000,31000
35410824,50728,0,50728
35420003,118000,2925,120925
35420005,722981,559077,1282058
35420011,70000,3546,73546
35420012,369689,496,370185
35420014,0,200,200
35420015,134976,545,135521
35420016,191380,34568,225948
35420017,104000,778,104778
35420018,260000,44801,304801
35420019,363500,1607,365107
35420020,199344,64258,263602
35420027,49748,252,50000
35420028,0,0,0
35420033,30000,7972,37972
35420034,155000,1000,156000
35420035,72000,14267,86267
35420039,111000,1900,112900
35420045,71000,17000,88000
35420047,0,0,0
35420051,71500,2318,73818
35420052,203864,16027,219891
35420054,80000,285258,365258
35420055,130000,1510,131510
35420056,140701,6000,146701
35420058,90000,1616,91616
35420059,62000,591,62591
35420060,264000,5334,269334
35420061,0,114166,114166
35420062,50000,49387,99387
35420063,56000,60312,116312
35420064,145000,3164,148164
35420065,0,0,0
35420066,70000,173068,243068
35420067,40092,32064,72156
35420068,0,0,0
35420079,0,185440,185440
35420086,52000,140274,192274
35420088,402000,1137,403137
35420089,260768,27607,288375
35420090,258000,387882,645882
35420091,0,0,0
35420092,157153,1155,158308
35420093,90000,4400,94400
35420095,212709,77410,290119
35420096,150000,102851,252851
35420097,45170,52159,97329
35420110,250350,6308,256658
35420111,80700,1359,82059
35420112,150000,171431,321431
35420113,80000,98000,178000
35420114,0,0,0
35420115,0,0,0
35420116,54000,47307,101307
35420117,60000,21555,81555
35420118,40000,16209,56209
35420137,58000,885,58885
35420138,44500,59329,103829
35420140,26700,610,27310
35420142,117000,115500,232500
35420145,48870,4795,53665
35420147,73000,5055,78055
35420153,0,0,0
35420154,59500,186,59686
35420170,22500,19900,42400
35420185,24000,477,24477
35420208,60000,112736,172736
35420209,95300,289584,384884
35420210,42000,32295,74295
35420211,68525,4321,72846
35420212,280000,171263,451263
35420213,100000,106371,206371
35420214,119000,870,119870
35420216,105000,923,105923
35420224,35100,89,35189
35420228,34000,1442,35442
35420229,0,0,0
35420231,26000,24000,50000
35420233,58000,1057,59057
35420235,3000,20807,23807
35420237,49000,1875,50875
35420238,70000,48762,118762
35420239,0,42241,42241
35420240,100000,328177,428177
35420242,45871,8585,54456
35420243,0,51211,51211
35420244,22000,1185,23185
35420245,49200,135624,184824
35420246,0,232739,232739
35420248,96580,95149,191729
35420249,45435,21271,66706
35420250,170000,42408,212408
35420251,88000,142,88142
35420253,75000,46871,121871
35420255,70000,78793,148793
35420257,0,398206,398206
35420260,0,85039,85039
35420262,50000,70185,120185
35420263,30000,139647,169647
35420266,0,0,0
35420267,50000,4971,54971
35420268,90500,211,90711
35420270,46000,1787,47787
35420273,0,85933,85933
35420276,65000,691,65691
35420277,55000,2539,57539
35420279,50000,23775,73775
35420280,27000,1164,28164
35420281,50000,2939,52939
35420283,100000,44245,144245
35420284,45000,10895,55895
35420286,64000,712,64712
35420287,140000,135649,275649
35420288,0,0,0
35420289,80000,3511,83511
35420291,56000,103862,159862
35420292,55000,157370,212370
35420293,85000,193695,278695
35420294,35000,98028,133028
35420296,110000,2084,112084
35420297,40000,171125,211125
35420303,0,0,0
35420306,55000,66157,121157
35420307,40000,30576,70576
35420308,60000,29018,89018
35420309,0,29653,29653
35420310,19700,51050,70750
35420311,0,0,0
35420313,155000,55653,210653
35420314,35000,40505,75505
35420316,57000,32245,89245
35420317,50000,104045,154045
35420318,125000,29407,154407
35420319,91500,15954,107454
35420323,0,206128,206128
35420325,0,0,0
35420328,47000,165766,212766
35420330,0,0,0
35420334,55125,173732,228857
35420338,0,0,0
35420339,0,0,0
35420340,98000,28201,126201
35420341,48000,21000,69000
35420348,16000,5000,21000
35420349,25500,17230,42730
35420353,55000,94533,149533
35420354,110000,65386,175386
35420450,120000,175533,295533
35420454,0,0,0
35420478,30000,100636,130636
35420480,168584,77513,246097
35420485,0,66454,66454
35420499,125300,79708,205008
35420502,71000,41844,112844
35420508,76400,1677,78077
35420516,247548,429923,677471
35420517,136160,92285,228445
35420518,40000,1501,41501
35420519,88160,232298,320458
35420522,26000,1000,27000
35420523,83000,1008,84008
35420525,149702,15474,165176
35420527,65676,16000,81676
35420528,130633,2630,133263
35420536,136000,519,136519
35420541,48985,692,49677
35420542,180698,228846,409544
35420544,33000,342,33342
35420545,139500,1381,140881
35420546,268031,723,268754
35420548,40000,4918,44918
35420549,140000,135562,275562
35420550,97600,553,98153
35420551,100000,57000,157000
35420552,85000,3833,88833
35420553,19000,912,19912
35420554,36000,96318,132318
35420555,61533,40000,101533
35420636,118000,679,118679
35420638,0,0,0
35420639,0,0,0
35420640,100000,276789,376789
35420641,150000,62041,212041
35420642,178000,161733,339733
35420643,0,0,0
35420644,90000,420,90420
35420645,27056,495,27551
35420646,195000,43100,238100
35420647,25000,2351,27351
35420648,0,0,0
35420652,65000,2610,67610
35420655,30000,52399,82399
35420656,0,0,0
35420660,125000,3193,128193
35420662,30000,50250,80250
35420664,280000,97586,377586
35420666,100000,600,100600
35420667,0,78659,78659
35420669,39000,585,39585
35420671,0,0,0
35420673,0,93399,93399
35420674,100000,898,100898
35420675,40000,99915,139915
35420676,40000,55306,95306
35420678,0,0,0
35420679,62500,2190,64690
35420680,0,50949,50949
35420681,0,0,0
35420682,0,0,0
35420683,116000,35003,151003
35420685,70000,3691,73691
35420688,106000,285,106285
35420691,0,0,0
35420697,5000,29785,34785
35420709,176690,51800,228490
35420716,83000,10341,93341
35420719,37000,50210,87210
35420721,58000,7989,65989
35420722,35000,8325,43325
35420730,30000,1462,31462
35420733,0,132637,132637
35420735,90000,171739,261739
35420767,0,0,0
35420770,317666,175000,492666
35420771,55841,149256,205097
35420772,90000,7492,97492
35420773,16426,35567,51993
35420797,0,71777,71777
35420799,40500,239,40739
35420801,100000,10122,110122
35420802,100000,55719,155719
35420804,163000,20730,183730
35420810,51000,277773,328773
35420811,22000,800,22800
35420812,30000,2647,32647
35420816,49000,965,49965
35420817,0,0,0
